Sequence,Time (seconds),Best Score
"O,O,I,I,I,I,L",0.002004861831665039,1
"O,O,T,O,I,I,L,L",0.0008187294006347656,0
"J,O,O,O,I,I,I,O,T",0.0028076171875,1
"O,T,T,T,O,L",0.01264643669128418,0
"O,T,T,T,O,L",0.008509159088134766,0
"O,I,O,T,I,L",0.002790212631225586,0"T,T,O,I,T,T,T,I,I,T,I,O,I,I,T,T,I,T,O,T,I,O,O,I,O,O,T,T,O,T",0.020016908645629883,0
"T,T,O,I,T,T,T,I,I,T,I,O,I,I,T,T,I,T,O,T,I,O,O,I,O,O,T,T,O,T",0.025176525115966797,0
"O,O,I,I,I,O,I,I,I,I,I,O,O,I,O,I,O,O,I,O,O,I,I,I,I,O,I,O,I,O",0.01820993423461914,1
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O,O,I,I,O,O,O,I,O,I,I,O,I,I,O,I,I,O,O,I,O",0.02971816062927246,4
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O,O,I,I,O,O,O,I,O,I,I,O,I,I,O,I,I,O,O,I,O",0.0215914249420166,4
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O,O,I,I,O,O,O,I,O,I,I,O,I,I,O,I,I,O,O,I,O",0.03138852119445801,5
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O,O,I,I,O,O,O,I,O,I,I,O,I,I,O,I,I,O,O,I,O",0.020359277725219727,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O,O,I,I,O,O,O,I,O,I,I,O,I,I,O,I,I,O,O,I,O",0.03130650520324707,5
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O,O,I,I,O,O,O,I,O,I,I,O,I,I,O,I,I,O,O,I,O",0.02895522117614746,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O,O,I,I,O,O,O,I,O,I,I,O,I,I,O,I,I,O,O,I,O",0.04500317573547363,5
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O,O,I,I,O,O,O,I,O,I,I",0.026149749755859375,3
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.022499561309814453,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.0180966854095459,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.020245075225830078,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.015848159790039062,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.020265817642211914,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.017521381378173828,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.019578218460083008,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.021825551986694336,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.020058870315551758,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.12406611442565918,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.1396646499633789,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.1257462501525879,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.019159317016601562,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.01990532875061035,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.020914793014526367,0
"O,I,T,S,Z,L,J,I,O,I,T,L,S,Z",0.020843029022216797,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.018187999725341797,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.026987552642822266,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.021118640899658203,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.04070401191711426,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.04687786102294922,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.036514997482299805,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.020189285278320312,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.027686357498168945,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.017483234405517578,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.06705856323242188,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.057912588119506836,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.060750484466552734,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.06755971908569336,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.05611228942871094,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.14585518836975098,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.03320884704589844,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.03552842140197754,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.029804706573486328,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.028970956802368164,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.04188132286071777,0
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.04438424110412598,11
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.028360843658447266,11
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.0613245964050293,11
"O,O,I,O,O,O,I,I,I,O,O,I,O,I,I,O,I,O,O,I,I,I,O,O,I,I,I,O,O,O",0.06493997573852539,11
